,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
87,yar-sale,100,RU,1576713748,95,66.83,70.83,-15.57,4.09
88,terrenate,84,MX,1576713750,37,28.79,-111.4,22.78,1.79
89,pacific grove,90,US,1576713751,87,36.62,-121.92,14.44,6.2
90,nioro,40,GM,1576713752,13,13.79,-15.05,25.35,4.08
91,vila do maio,20,CV,1576713753,78,15.13,-23.22,22.0,6.2
92,carutapera,100,BR,1576713755,79,-1.2,-46.02,28.17,8.53
93,castro,20,CL,1576713756,54,-42.48,-73.76,15.0,4.1
94,thompson,90,CA,1576713757,84,55.74,-97.86,-17.0,1.0
95,batemans bay,60,AU,1576713758,18,-35.71,150.18,33.33,4.64
96,grass valley,90,US,1576713760,86,39.22,-121.06,15.0,2.6
97,altay,0,CN,1576713761,49,47.83,88.13,-16.01,1.53
98,saskylakh,93,RU,1576713762,98,71.97,114.09,-27.67,1.53
99,sangar,95,RU,1576713763,98,63.92,127.47,-39.7,1.14
100,kodinar,43,IN,1576713764,65,20.79,70.7,18.46,4.1
101,sechura,33,PE,1576713766,86,-5.56,-80.82,20.87,6.51
102,taltal,0,CL,1576713767,86,-25.41,-70.49,14.62,1.69
103,bethel,1,US,1576713768,77,60.79,-161.76,-13.0,8.2
104,mar del plata,11,AR,1576713756,24,-46.43,-67.52,19.0,12.36
105,kapit,78,MY,1576713770,96,2.02,112.94,23.66,0.5
106,manta,86,RO,1576713772,52,45.1,24.1,7.59,0.43
107,hasaki,75,JP,1576713773,81,35.73,140.83,8.89,1.5
108,cidreira,0,BR,1576713774,77,-30.17,-50.22,22.04,12.84
109,saint-philippe,90,CA,1576713775,73,45.36,-73.48,-7.0,11.3
110,atuona,38,PF,1576713777,75,-9.8,-139.03,26.75,6.07
111,mehamn,79,NO,1576713778,85,71.03,27.85,-1.0,5.1
112,calabozo,13,VE,1576713738,72,8.92,-67.43,25.83,2.02
113,chuy,27,UY,1576713777,76,-33.69,-53.46,19.81,5.38
114,chumikan,0,RU,1576713782,75,54.72,135.31,-27.44,6.8
115,kilindoni,87,TZ,1576713783,78,-7.91,39.67,28.22,5.05
116,whyalla,0,AU,1576713784,40,-33.04,137.58,30.0,4.6
117,esperance,0,AU,1576713670,73,-33.86,121.89,21.0,3.1
118,togur,100,RU,1576713787,95,58.36,82.83,-13.71,1.83
119,byron bay,18,AU,1576713788,53,-28.65,153.62,27.78,3.1
120,nikolskoye,90,RU,1576713789,91,59.7,30.79,2.0,16.0
121,georgetown,75,GY,1576713791,94,6.8,-58.16,25.0,2.6
122,ribeira grande,100,PT,1576713792,89,38.52,-28.7,13.75,10.49
123,flinders,7,AU,1576713630,8,-34.58,150.85,38.33,9.3
124,huarmey,94,PE,1576713795,73,-10.07,-78.15,19.9,2.03
125,naze,20,NG,1576713796,88,5.43,7.07,24.0,1.62
126,pitsunda,0,GE,1576713798,57,43.16,40.34,7.0,3.0
127,hermanus,0,ZA,1576713799,68,-34.42,19.24,16.67,2.24
128,hualmay,61,PE,1576713800,75,-11.1,-77.61,19.43,2.35
129,nikko,96,JP,1576713801,69,36.75,139.62,5.0,2.24
130,chepareria,44,KE,1576713803,57,1.32,35.2,19.04,2.3
131,anadyr,75,RU,1576713804,84,64.73,177.51,-16.0,3.0
132,havre,1,US,1576713805,55,48.55,-109.68,1.0,3.6
133,chokurdakh,100,RU,1576713806,97,70.62,147.9,-27.39,3.21
134,gizo,0,IL,1576713807,71,31.8,34.94,12.22,1.0
135,marawi,60,PH,1576713809,83,8.0,124.29,23.89,2.68
136,matay,0,EG,1576713810,57,28.42,30.79,9.77,2.01
137,saldanha,100,PT,1576713811,91,41.42,-6.55,10.99,10.02
138,ovsyanka,0,RU,1576713813,90,53.58,126.91,-34.52,0.3
139,sorong,98,ID,1576713814,94,-0.86,131.25,25.59,0.69
140,pucallpa,75,PE,1576713815,100,-8.38,-74.54,2.0,2.1
141,borovsk,75,RU,1576713816,81,55.21,36.48,6.0,9.0
142,hofn,100,IS,1576713817,74,64.25,-15.21,2.83,14.29
143,miri,19,NG,1576713819,33,10.31,9.75,20.8,3.24
144,ursulo galvan,90,MX,1576713820,44,20.6,-97.44,15.0,4.1
145,tabas,0,IR,1576713821,70,33.6,56.92,6.0,1.0
146,barrow,100,AR,1576713822,28,-38.31,-60.23,25.5,1.03
147,khatanga,89,RU,1576713824,100,71.98,102.47,-23.72,0.55
148,te anau,92,NZ,1576713825,69,-45.41,167.72,10.56,3.78
149,longonjo,100,AO,1576713826,98,-12.91,15.25,16.58,1.34
150,nioki,100,CD,1576713827,96,-2.72,17.69,22.33,1.74
151,kamenka,0,MD,1576713829,76,48.03,28.7,7.06,2.06
152,high level,75,CA,1576713830,76,58.52,-117.13,-21.0,4.1
153,esmeralda,100,CL,1576713831,30,-34.33,-70.9,29.0,5.1
154,shillong,40,IN,1576713832,93,25.58,91.88,17.0,0.65
155,corinto,75,CO,1576713833,65,3.17,-76.26,26.0,3.6
156,yilan,0,CN,1576713835,79,43.11,129.52,-14.9,1.42
157,acapulco,5,MX,1576713836,58,16.86,-99.88,29.0,2.6
158,hambantota,100,LK,1576713837,81,6.12,81.12,26.72,10.78
159,itupiranga,98,BR,1576713838,88,-5.13,-49.33,28.0,1.5
160,fortuna,90,US,1576713839,66,40.6,-124.16,14.0,2.1
161,kaoma,4,ZM,1576713841,76,-14.8,24.8,18.37,1.93
162,pevek,100,RU,1576713842,99,69.7,170.27,-23.91,2.8
163,inirida,87,CO,1576713843,97,3.87,-67.92,24.12,0.99
164,aripuana,69,BR,1576713844,90,-9.17,-60.63,24.95,0.77
165,banda aceh,100,ID,1576713846,90,5.56,95.32,22.54,1.22
166,maniitsoq,20,GL,1576713847,45,65.42,-52.9,-5.5,1.27
167,lagoa,75,PT,1576713848,100,37.14,-8.45,16.67,5.1
168,mount isa,6,AU,1576713849,34,-20.73,139.49,36.0,3.6
169,beloha,20,MG,1576713850,88,-25.17,45.06,20.16,3.68
170,provideniya,90,RU,1576713852,79,64.42,-173.23,-7.0,3.0
171,goderich,100,CA,1576713853,84,43.74,-81.71,-6.67,7.15
172,oyek,100,RU,1576713854,83,52.59,104.46,-20.0,2.0
173,cap malheureux,20,MU,1576713855,88,-19.98,57.61,24.0,2.1
174,swift current,1,CA,1576713765,86,50.29,-107.8,-3.0,4.1
175,makat,100,KZ,1576713858,92,47.65,53.35,1.02,2.25
176,san ramon de la nueva oran,100,AR,1576713859,47,-23.13,-64.33,25.9,1.02
177,san patricio,0,PY,1576713860,44,-26.98,-56.83,23.06,1.29
178,campbell river,90,CA,1576713685,87,50.02,-125.24,7.0,5.1
179,qaanaaq,96,GL,1576713863,47,77.48,-69.36,-17.4,2.33
180,auki,0,NG,1576713864,27,12.18,6.51,22.67,5.64
181,khingansk,5,RU,1576713865,93,49.12,131.18,-26.03,0.32
182,abnub,0,EG,1576713866,45,27.27,31.15,11.62,2.89
183,kangaatsiaq,2,GL,1576713868,57,68.31,-53.46,-7.07,3.3
184,hobart,20,AU,1576713869,28,-42.88,147.33,20.0,9.3
185,mbandaka,100,CD,1576713870,72,0.05,18.26,23.58,0.85
186,tuktoyaktuk,20,CA,1576713871,73,69.44,-133.03,-34.0,2.6
187,avarua,100,CK,1576713872,74,-21.21,-159.78,26.0,6.2
188,ornskoldsvik,11,SE,1576713874,85,63.29,18.72,-4.0,4.6
189,tortoli,75,IT,1576713875,93,39.93,9.66,16.0,3.6
190,prince rupert,20,CA,1576713587,81,54.32,-130.32,6.0,5.1
191,ouadda,0,CF,1576713877,24,8.07,22.4,19.89,2.32
192,santa lucia,100,IT,1576713879,62,41.98,12.66,18.33,1.0
193,miles city,1,US,1576713813,55,46.41,-105.84,2.78,4.1
194,road town,40,VG,1576713851,74,18.42,-64.62,27.22,4.1
195,kamennomostskiy,0,RU,1576713882,52,44.29,40.18,6.21,1.28
196,porto novo,75,BR,1576713883,83,-23.68,-45.44,22.0,2.1
197,araouane,0,ML,1576713885,25,18.9,-3.53,17.4,4.52
198,paamiut,71,GL,1576713886,42,61.99,-49.67,-2.48,5.07
199,dicabisagan,45,PH,1576713888,83,17.08,122.42,25.55,3.13
200,sampit,100,ID,1576713889,85,-2.54,112.95,26.11,0.5
201,saint-augustin,90,CA,1576713890,72,45.63,-73.98,-7.0,4.6
202,marsh harbour,99,BS,1576713891,87,26.54,-77.06,23.43,10.81
203,lira,31,UG,1576713893,66,2.25,32.9,18.74,1.18
204,arraial do cabo,75,BR,1576713894,88,-22.97,-42.02,25.0,3.1
205,carnarvon,62,ZA,1576713895,64,-30.97,22.13,8.68,3.29
206,los llanos de aridane,75,ES,1576713896,72,28.66,-17.92,18.0,2.6
207,qasigiannguit,5,GL,1576713670,43,68.82,-51.19,-11.0,1.0
208,kupang,40,ID,1576713899,89,-10.16,123.6,29.0,1.5
209,broadstairs,99,GB,1576713872,93,51.36,1.44,12.0,7.7
210,sioux lookout,75,CA,1576713901,70,50.1,-91.92,-18.0,4.6
211,almeria,0,ES,1576713903,81,36.84,-2.46,10.0,1.5
212,leshukonskoye,97,RU,1576713904,96,64.9,45.76,-5.5,2.2
213,ahipara,0,NZ,1576713905,63,-35.17,173.16,16.81,3.79
214,airai,100,TL,1576713906,49,-8.93,125.41,26.6,1.72
215,tuatapere,94,NZ,1576713908,53,-46.13,167.69,16.11,4.47
216,sabang,61,PH,1576713909,88,13.8,121.11,25.56,3.5
217,mahebourg,20,MU,1576713910,88,-20.41,57.7,24.0,2.1
218,westport,20,US,1576713749,74,41.14,-73.36,0.56,4.1
219,yuanping,0,CN,1576713913,78,38.72,112.71,-8.79,1.51
220,kyshtovka,100,RU,1576713914,95,56.56,76.62,-14.78,3.18
221,izhma,96,RU,1576713915,95,65.01,53.91,-9.19,3.31
222,capoterra,40,IT,1576713916,100,39.18,8.97,14.0,4.1
223,micheweni,60,TZ,1576713918,75,-4.97,39.83,28.54,6.23
224,milkovo,100,BG,1576713919,93,41.53,24.68,10.0,1.0
225,ihosy,2,MG,1576713920,88,-22.4,46.13,16.28,4.05
226,basco,1,US,1576713921,67,40.33,-91.2,-3.89,2.6
227,ilulissat,5,GL,1576713750,43,69.22,-51.1,-11.0,1.0
228,sorland,100,NO,1576713924,82,67.67,12.69,4.93,9.56
229,champerico,40,MX,1576713925,68,16.38,-93.6,20.0,11.8
230,poum,96,MK,1576713926,52,41.28,20.71,5.21,0.76
231,lahad datu,56,MY,1576713928,92,5.02,118.33,24.31,3.04
232,narsaq,100,GL,1576713929,23,60.91,-46.05,-1.0,11.3
